iter	RMSE
0	0.8622904458
1	0.772544869
2	0.692236995
3	0.6214768555
4	0.5576355008
5	0.5016046183
6	0.4517087618
7	0.4076466343
8	0.3682586316
9	0.3337345785
10	0.3025901473
11	0.275478866
12	0.2512156687
13	0.2291363937
14	0.2098300297
15	0.1925366969
16	0.1769605923
17	0.1633950359
18	0.1515156076
19	0.1410479729
20	0.1319198846
21	0.1238579948
22	0.1165500011
23	0.1103424697
24	0.1048249418
25	0.1001680333
26	0.09599087321
27	0.09230333972
28	0.08906748045
29	0.08635423969
30	0.08388861579
31	0.08186792483
32	0.07989559274
33	0.07827321033
34	0.07691960079
35	0.07571737938
36	0.07456453711
37	0.07359739669
38	0.07271851135
39	0.07199530751
40	0.0713177636
41	0.07065851604
42	0.07008127658
43	0.06959847845
44	0.0691817369
45	0.068738375
46	0.06841533727
47	0.06812815613
48	0.06788334127
49	0.06762964046
50	0.06740132311
51	0.06712810353
52	0.06697120215
53	0.06682481346
54	0.06666822823
55	0.0665256881
56	0.0663466958
57	0.06623944615
58	0.06614194638
59	0.06593334869
60	0.06581482636
61	0.06572561225
62	0.06564803178
63	0.06556870576
64	0.06546808121
65	0.0653122275
66	0.06521481748
67	0.06516454843
68	0.06507019925
69	0.06493633227
70	0.06489260424
71	0.06480569086
72	0.06475836625
73	0.0646660522
74	0.06460529261
75	0.06453295918
76	0.06443744949
77	0.06433015216
78	0.0642908492
79	0.06422327569
80	0.06411678441
81	0.06404457146
82	0.06393273906
83	0.06385853191
84	0.0637619937
85	0.06369200169
86	0.06364593598
87	0.06359507927
88	0.06354853966
89	0.06352917098
90	0.06349265329
91	0.06345897219
92	0.06338467682
93	0.06333645353
94	0.06329754582
95	0.06324728572
96	0.06319519427
97	0.06314825948
98	0.06308318282
99	0.06302563946
100	0.06295504894
101	0.06288868284
102	0.06286512794
103	0.06283300937
104	0.06276756583
105	0.06271514846
106	0.06265295982
107	0.06261292502
108	0.06257858633
109	0.06252621286
110	0.0624833408
111	0.06242871431
112	0.06239518197
113	0.06234309888
114	0.06231080925
115	0.06227057271
116	0.06223767418
117	0.0622079792
118	0.06217920718
119	0.06214221975
120	0.06211116999
121	0.06208167281
122	0.06204617051
123	0.06201270002
124	0.06196945312
125	0.06192227884
126	0.06190191419
127	0.06187321446
128	0.06183768453
129	0.06182050745
130	0.06176909259
131	0.06174226722
132	0.06171215403
133	0.06167913298
134	0.06163689818
135	0.06160436732
136	0.06157425623
137	0.06153994552
138	0.06150741671
139	0.06148570758
140	0.06145212187
141	0.06142886471
142	0.06140170455
143	0.06137826984
144	0.06134652053
145	0.06133345032
146	0.06130716927
147	0.06127754964
148	0.06126515832
149	0.06124406681
150	0.06122949035
151	0.06121366315
152	0.06119877198
153	0.06117587966
154	0.06114278806
155	0.06111828025
156	0.06109691914
157	0.06107771011
158	0.06104984647
159	0.06103607776
160	0.06101844884
161	0.0609969291
162	0.06098205668
163	0.0609639488
164	0.06095118389
165	0.06093466578
166	0.06092312152
167	0.06090495948
168	0.06088526586
169	0.06085716427
170	0.06082990526
171	0.06081004329
172	0.06079214427
173	0.06078301163
174	0.06076073463
175	0.06074277018
176	0.06072921257
177	0.06070635051
178	0.06069764164
179	0.06068496301
180	0.0606656919
181	0.06064682804
182	0.06063436472
183	0.06061945205
184	0.06060204661
185	0.06057682471
186	0.06056169808
187	0.06054469478
188	0.06053148598
189	0.0605159935
190	0.06049169221
191	0.0604810051
192	0.06046144215
193	0.06044709368
194	0.06043574436
195	0.0604200609
196	0.06039862621
197	0.06038396594
198	0.06037418689
199	0.06036061989
200	0.06034648112
201	0.06033220711
202	0.06032215289
203	0.06029659119
204	0.06028487137
205	0.0602681784
206	0.06025687929
207	0.06024252888
208	0.06022715727
209	0.06021458938
210	0.06019772879
211	0.06017828241
212	0.06016662801
213	0.06015013872
214	0.06013979881
215	0.06012582042
216	0.06011599524
217	0.06010542943
218	0.06009354534
219	0.06007982915
220	0.06006982154
221	0.06005139399
222	0.06003810579
223	0.06003042667
224	0.06002444018
225	0.06001198568
226	0.05999824681
227	0.05998623213
228	0.05997025099
229	0.05995721604
230	0.05994502739
231	0.05993192085
232	0.05992030207
233	0.05990423603
234	0.05988715125
235	0.05987494698
236	0.05986498641
237	0.05985574673
238	0.05985226711
239	0.05984078902
240	0.05983165381
241	0.05981913238
242	0.059809368
243	0.05980074379
244	0.05979088536
245	0.05978072641
246	0.05977086256
247	0.05976101272
248	0.05974917187
249	0.0597358133
250	0.05972355179
251	0.05971001453
252	0.0597006361
253	0.05969176203
254	0.05968157097
255	0.05967506269
256	0.05966171451
257	0.05965764028
258	0.05964354215
259	0.0596395886
260	0.05962759583
261	0.05961773129
262	0.05960462797
263	0.05959605472
264	0.05958501751
265	0.05957786534
266	0.05957306755
267	0.05956093452
268	0.05954630987
269	0.059537372
270	0.05953005912
271	0.05951927878
272	0.05951488026
273	0.0595042093
274	0.05950024625
275	0.05948950461
276	0.05948307808
277	0.05947618916
278	0.05946588552
279	0.0594589502
280	0.05945162041
281	0.05943898708
282	0.05943159129
283	0.05942511291
284	0.0594148658
285	0.05940994087
286	0.05940122623
287	0.05939062841
288	0.05938511494
289	0.05937837552
290	0.05937221766
291	0.05936689735
292	0.05935740965
293	0.05934736674
294	0.05933014106
295	0.05931808756
296	0.05930935616
297	0.0593012952
298	0.05929670489
299	0.05929117712
300	0.05928583981
301	0.05927526429
302	0.05926552726
303	0.05925507788
304	0.0592501512
305	0.0592416717
306	0.059237769
307	0.05923119932
308	0.05922182456
309	0.05921289615
310	0.05920346223
311	0.0591964535
312	0.05918598478
313	0.05917775345
314	0.05916982838
315	0.05916378535
316	0.0591550412
317	0.05914817776
318	0.05914326832
319	0.05913286779
320	0.0591307953
321	0.05912151566
322	0.05911346255
323	0.05910371289
324	0.05909717689
325	0.05908486524
326	0.05907912221
327	0.05907263166
328	0.05906672451
329	0.05905863464
330	0.05905042033
331	0.05904098374
332	0.05903081887
333	0.05902672838
334	0.05902190318
335	0.05901655035
336	0.05900771935
337	0.05899927933
338	0.05899116629
339	0.058985091
340	0.05898006401
341	0.05897317094
342	0.058966433
343	0.05896025913
344	0.05895212002
345	0.05894429797
346	0.0589343915
347	0.05892659956
348	0.05891875012
349	0.05891079605
350	0.05890662166
351	0.05889922598
352	0.0588881506
353	0.05888230997
354	0.05887836651
355	0.05887271091
356	0.05886517639
357	0.05885692175
358	0.05884997389
359	0.05884440931
360	0.05883727272
361	0.05883143239
362	0.05882368387
363	0.0588185174
364	0.05881306013
365	0.05880641497
366	0.05880037619
367	0.05879717
368	0.05878875896
369	0.05878133075
370	0.05877682626
371	0.05877035406
372	0.0587609683
373	0.05875529433
374	0.05874961037
375	0.05874181381
376	0.05873634495
377	0.05873228779
378	0.05872611852
379	0.05871847057
380	0.05871003318
381	0.05870632854
382	0.05869987897
383	0.058696078
384	0.05869234967
385	0.0586864088
386	0.05867945632
387	0.05867298823
388	0.05866730907
389	0.05866247071
390	0.05865578077
391	0.05864701341
392	0.05864163951
393	0.05863848556
394	0.05863562663
395	0.0586320892
396	0.05862487531
397	0.05861804676
398	0.05861205889
399	0.05860659416
400	0.0585932688
401	0.05858594877
402	0.05857961697
403	0.05857749011
404	0.0585706446
405	0.0585655236
406	0.05856215957
407	0.05855560997
408	0.05855022104
409	0.05854484942
410	0.05853714392
411	0.05853299629
412	0.05852971827
413	0.05852467068
414	0.05851908311
415	0.05851213403
416	0.05850529681
417	0.05850198354
418	0.05849521029
419	0.05848783126
420	0.05848225028
421	0.0584769673
422	0.05847161525
423	0.05846293647
424	0.05845832948
425	0.05845144187
426	0.05844760926
427	0.05844378988
428	0.05843870102
429	0.05843329962
430	0.05843076816
431	0.05842370605
432	0.05841821357
433	0.05841174184
434	0.05840428903
435	0.05839647461
436	0.05839171921
437	0.05838453553
438	0.05837938965
439	0.05837319721
440	0.05836790043
441	0.05836375908
442	0.05835974048
443	0.058356094
444	0.05835239287
445	0.05834422057
446	0.05834006013
447	0.05833305332
448	0.0583282388
449	0.05832225384
450	0.05831733365
451	0.05831247712
452	0.05830551549
453	0.05830070464
454	0.05829716545
455	0.0582904574
456	0.05828120165
457	0.05827578996
458	0.05827057026
459	0.05826317789
460	0.05825763025
461	0.05825450291
462	0.05825136516
463	0.05824680201
464	0.05823971486
465	0.05823442887
466	0.05822945572
467	0.05822491659
468	0.05821912367
469	0.05821104523
470	0.05820741095
471	0.0582034739
472	0.0581982988
473	0.05819566115
474	0.05818892811
475	0.05818212007
476	0.05817951758
477	0.05817417661
478	0.05816730614
479	0.05816298744
480	0.05815975213
481	0.05815454393
482	0.05814673989
483	0.05814344485
484	0.05813864608
485	0.05813342664
486	0.0581295545
487	0.05812438359
488	0.05811997802
489	0.05811789166
490	0.05811052795
491	0.05810713678
492	0.05810375573
493	0.05809985751
494	0.05809252874
495	0.05808425671
496	0.05807987719
497	0.05807654216
498	0.05807098249
499	0.05806584886
500	0.05806310079
501	0.05805959225
502	0.05805808746
503	0.05805558053
504	0.05805078976
505	0.05804566226
506	0.05803705256
507	0.05802794833
508	0.05802418374
509	0.05802151146
510	0.05801807533
511	0.05801446827
512	0.05801013287
513	0.05800646244
514	0.05800211
515	0.05799932226
516	0.05799488337
517	0.05799073329
518	0.05798657725
519	0.05797945771
520	0.05797257032
521	0.05796879545
522	0.05796544093
523	0.05796218972
524	0.05795949516
525	0.05795610175
526	0.05795383334
527	0.05795203283
528	0.05794919579
529	0.05794556384
530	0.05793816202
531	0.05793283084
532	0.05792747866
533	0.05792326714
534	0.05791744925
535	0.05791402144
536	0.05790881972
537	0.05790479929
538	0.05789991779
539	0.05789606359
540	0.05789379635
541	0.0578895737
542	0.05788496077
543	0.05787821766
544	0.05787412973
545	0.057869174
546	0.05786490523
547	0.05786087221
548	0.05785677276
549	0.05785426636
550	0.0578510675
551	0.05784808436
552	0.05784362307
553	0.0578411365
554	0.05783826005
555	0.05783601439
556	0.05782909463
557	0.05782669515
558	0.05782385594
559	0.0578197646
560	0.05781664677
561	0.05781110017
562	0.05780847649
563	0.05780548968
564	0.05780192501
565	0.05779918916
566	0.05779672859
567	0.05779451146
568	0.05778830163
569	0.057783443
570	0.05777855462
571	0.05777444361
572	0.05776961353
573	0.05776775299
574	0.05776387596
575	0.05776277541
576	0.05776069312
577	0.05775491698
578	0.05775135517
579	0.05774682559
580	0.05774172351
581	0.05773730917
582	0.05773313393
583	0.05773027701
584	0.05772614549
585	0.05772120774
586	0.05771943367
587	0.05771425775
588	0.05771176599
589	0.05770733657
590	0.05770402827
591	0.05770145262
592	0.05769784707
593	0.05769005123
594	0.05768798817
595	0.0576846458
596	0.05768142045
597	0.0576764164
598	0.05767150701
599	0.05766969806
600	0.05766586902
601	0.05766228346
602	0.05765990238
603	0.05765749875
604	0.05765479387
605	0.05765316837
606	0.05764973718
607	0.05764675378
608	0.05764394252
609	0.05764191432
610	0.0576400939
611	0.05763660584
612	0.05763136846
613	0.05762718054
614	0.05762580409
615	0.05762144049
616	0.05761618176
617	0.05761209606
618	0.05760700046
619	0.05760426367
620	0.05760095216
621	0.05759664682
622	0.05759510844
623	0.05759294158
624	0.05758967211
625	0.05758752134
626	0.05758528449
627	0.05758130075
628	0.05757771796
629	0.0575743871
630	0.05757092821
631	0.0575689966
632	0.05756650663
633	0.05756283946
634	0.05755952669
635	0.05755623196
636	0.05755323543
637	0.05754905866
638	0.05754554481
639	0.05754350878
640	0.05754091399
641	0.05753748971
642	0.05753384278
643	0.05753073462
644	0.05752724872
645	0.05752281103
646	0.05752051326
647	0.05751612802
648	0.05751150495
649	0.05750918765
650	0.0575058151
651	0.05750424757
652	0.05750034405
653	0.05749730716
654	0.05749519825
655	0.05749147302
656	0.05748970961
657	0.05748558642
658	0.05748291051
659	0.05748067295
660	0.05747660565
661	0.05747429674
662	0.05747252373
663	0.05746950742
664	0.05746650425
665	0.05746314308
666	0.05746146154
667	0.05745811929
668	0.05745475438
669	0.05745196894
670	0.05744996381
671	0.05744390645
672	0.05744114138
673	0.05743921286
674	0.05743779391
675	0.0574343453
676	0.05743169294
677	0.05742864105
678	0.05742458337
679	0.05742252693
680	0.05742114752
681	0.05741903949
682	0.05741697068
683	0.05741170485
684	0.05740883692
685	0.05740293529
686	0.05740041657
687	0.05739797036
688	0.0573928309
689	0.05738969225
690	0.05738695376
691	0.05738349269
692	0.05737965078
693	0.05737627173
694	0.05737329792
695	0.05736952504
696	0.05736848106
697	0.05736541792
698	0.05736230313
699	0.05735745744
700	0.05735466312
701	0.05735226324
702	0.05734957374
703	0.05734581904
704	0.05734260774
705	0.05734168189
706	0.0573400678
707	0.05733626213
708	0.05733400694
709	0.057331567
710	0.0573290226
711	0.05732592269
712	0.05732446511
713	0.05732228618
714	0.05731615693
715	0.05731305313
716	0.05730947964
717	0.05730694311
718	0.05730350632
719	0.05730079172
720	0.05729848652
721	0.05729427392
722	0.05729014684
723	0.05728915959
724	0.05728560152
725	0.05728282035
726	0.05727972752
727	0.05727791976
728	0.05727534315
729	0.05727277582
730	0.05726912068
731	0.05726507036
732	0.05725994124
733	0.05725596358
734	0.05725356787
735	0.05725037053
736	0.05724879017
737	0.05724499409
738	0.05724225598
739	0.05724127309
740	0.05723826283
741	0.05723573683
742	0.05723208419
743	0.05722934779
744	0.0572274693
745	0.05722458167
746	0.05722205177
747	0.05721980062
748	0.05721871095
749	0.05721565239
750	0.05721317296
751	0.05721100202
752	0.05720919337
753	0.05720785148
754	0.05720467359
755	0.05720071678
756	0.05719681404
757	0.05719345395
758	0.0571905274
759	0.05718802069
760	0.05718556856
761	0.05718144174
762	0.05717946177
763	0.05717665263
764	0.05717446376
765	0.05716928739
766	0.0571681333
767	0.05716705007
768	0.05716343159
769	0.05715987184
770	0.05715863362
771	0.05715588615
772	0.05715409197
773	0.05715182967
774	0.05714961284
775	0.0571471985
776	0.05714434719
777	0.05714010311
778	0.05713870685
779	0.05713479314
780	0.05712897405
781	0.05712659729
782	0.05712401289
783	0.05712184615
784	0.0571207655
785	0.05711754027
786	0.05711618635
787	0.0571141983
788	0.05711137803
789	0.05710796903
790	0.05710525511
791	0.0570988664
792	0.05709566191
793	0.0570913036
794	0.05708914353
795	0.05708509498
796	0.05708272194
797	0.05707884733
798	0.05707608629
799	0.05707384205
800	0.05707171479
801	0.05707009885
802	0.05706747517
803	0.05706598537
804	0.05706491374
805	0.05706369129
806	0.05706251153
807	0.05705879728
808	0.05705658388
809	0.05705467051
810	0.0570510835
811	0.05704904442
812	0.0570474322
813	0.05704520259
814	0.057042683
